dfa_id,auc_roc,auc_pr,fpr_out,ece_in,ece_out,n_prefixes,sigma_ref_size
124,0.6869037320810677,0.6314900014859633,0.0,1.0,0.0,136,5
126,0.8637883666538512,0.6962792457880845,0.0,1.0,0.0,136,3
127,0.7931579801038063,0.6627019125913225,0.0,1.0,0.0,136,4
128,0.8929257977700883,0.7338949500721825,0.0,1.0,0.0,136,3
129,0.8798338779956427,0.708570985895392,0.0,1.0,0.0,136,3
130,0.6882358948481353,0.6776751087329282,0.0,1.0,0.0,136,6
131,0.7592933006535948,0.6098768146755761,0.0,1.0,0.0,136,3
132,0.7918283489866536,0.7063185404613354,0.0,1.0,0.0,136,5
133,0.7470061094290658,0.613364020104841,0.0,1.0,0.0,136,4
134,0.7441284602076125,0.6584876331785319,0.0,1.0,0.0,136,5
138,0.6891837617399901,0.6211497047074633,0.0,1.0,0.0,136,5
139,0.7826202286980969,0.6358871730235071,0.0,1.0,0.0,136,4
140,0.7723708601087493,0.6998830405143941,0.0,1.0,0.0,136,5
142,0.7302896572231834,0.5993995121965182,0.0,1.0,0.0,136,4
144,0.845020544982699,0.6981159401812663,0.0,1.0,0.0,136,4
145,0.7337160737456747,0.6016128817204498,0.0,1.0,0.0,136,4
147,0.8582827030168684,0.7218275874036573,0.0,1.0,0.0,136,4
148,0.7840681769031141,0.6447714327023741,0.0,1.0,0.0,136,4
149,0.7478265570934256,0.6747457080531015,0.0,1.0,0.0,136,5
150,0.7408138921929064,0.6226549355531703,0.0,1.0,0.0,136,4
152,0.8524393787846021,0.7181619100067481,0.0,1.0,0.0,136,4
153,0.7547960820357554,0.7219776033572285,0.0,1.0,0.0,136,6
155,0.7091340212555611,0.6183344396671553,0.0,1.0,0.0,136,5
156,0.6771970966695502,0.5783224778174073,0.0,1.0,0.0,136,4
157,0.7934384461505191,0.6459322902323189,0.0,1.0,0.0,136,4
158,0.6936922172361593,0.5935599621575008,0.0,1.0,0.0,136,4
159,0.7681151136925358,0.7795388558544072,0.0,1.0,0.0,136,7
160,0.6630202326028451,0.6690290559154839,0.0,1.0,0.0,136,6
161,0.7551285219970341,0.6854548533199659,0.0,1.0,0.0,136,5
162,0.8342066238260009,0.7326695674578874,0.0,1.0,0.0,136,5
163,0.8840690279379726,0.7312888047603028,0.0,1.0,0.0,136,3
165,0.8552676930147058,0.7056433962780625,0.0,1.0,0.0,136,4
166,0.7787074082083815,0.741366392999929,0.0,1.0,0.0,136,6
167,0.9556850129757786,0.8334126805316416,0.0,1.0,0.0,136,2
